constraint_id,maximum,"constraint_type",minimum,generic_land_use_type_id,plan_type_id
1,4.08,"units_per_acre",0,1,1
2,2.61,"units_per_acre",0,1,2
3,7.26,"units_per_acre",0,1,3
4,6.22,"units_per_acre",0,1,4
5,5.44,"units_per_acre",0,1,5
6,6.05,"units_per_acre",0,1,6
7,15.6,"units_per_acre",4,1,7
8,31.2,"units_per_acre",4,1,8
9,1.2,"units_per_acre",0,1,9
10,6.05,"units_per_acre",0,1,10
11,8.7,"units_per_acre",0,1,11
12,5.8,"units_per_acre",0,1,13
13,12,"units_per_acre",0,1,14
14,5.44,"units_per_acre",0,1,18
15,12,"units_per_acre",0,1,19
16,10.13,"units_per_acre",0,1,31
17,10.13,"units_per_acre",0,1,33
18,6.05,"units_per_acre",0,1,34
19,4.53,"units_per_acre",0,1,35
20,20,"units_per_acre",0,1,39
21,9.66145,"units_per_acre",0,1,46
22,12,"units_per_acre",0,1,48
23,1,"units_per_acre",1,1,49
24,10,"units_per_acre",8,1,50
25,5,"units_per_acre",4,1,51
26,7,"units_per_acre",5,1,52
27,0.25,"units_per_acre",0.25,1,53
28,10,"units_per_acre",8,1,54
29,9.98,"units_per_acre",0,1,55
30,1,"units_per_acre",1,1,58
31,20,"units_per_acre",15,1,59
32,24,"units_per_acre",0,1,61
33,17,"units_per_acre",0,1,62
34,24,"units_per_acre",0,1,63
35,17,"units_per_acre",0,1,64
36,26.136,"units_per_acre",0,1,65
37,26.136,"units_per_acre",0,1,66
38,17,"units_per_acre",0,1,67
39,2,"units_per_acre",0,1,68
40,0.4,"units_per_acre",0,1,69
41,1,"units_per_acre",0,1,70
42,21,"units_per_acre",0,1,71
43,2,"units_per_acre",0,1,72
44,2.9,"units_per_acre",0,1,73
45,3.5,"units_per_acre",0,1,74
46,4.3,"units_per_acre",0,1,75
47,5,"units_per_acre",0,1,76
48,6,"units_per_acre",0,1,77
49,12,"units_per_acre",0,1,78
50,4.35,"units_per_acre",0,1,80
51,1,"units_per_acre",0,1,83
52,4.4,"units_per_acre",0,1,84
53,8.7,"units_per_acre",0,1,85
54,35,"units_per_acre",0,1,86
55,35,"units_per_acre",0,1,87
56,1,"units_per_acre",0,1,88
57,30,"units_per_acre",0,1,93
58,21.78,"units_per_acre",0,1,104
59,30,"units_per_acre",0,1,107
60,30,"units_per_acre",0,1,108
61,15,"units_per_acre",0,1,111
62,29.1287,"units_per_acre",0,1,112
63,20,"units_per_acre",0,1,113
64,30,"units_per_acre",0,1,114
65,29.1287,"units_per_acre",0,1,115
66,10,"units_per_acre",0,1,117
67,1,"units_per_acre",0,1,118
68,1.8,"units_per_acre",0,1,119
69,10,"units_per_acre",0,1,120
70,15,"units_per_acre",0,1,121
71,2.5,"units_per_acre",0,1,122
72,20,"units_per_acre",0,1,123
73,3.5,"units_per_acre",0,1,124
74,30,"units_per_acre",0,1,125
75,4,"units_per_acre",0,1,126
76,5,"units_per_acre",0,1,127
77,7.5,"units_per_acre",0,1,128
78,12,"units_per_acre",0,1,133
79,12,"units_per_acre",0,1,134
80,12,"units_per_acre",0,1,135
81,4,"units_per_acre",0,1,137
82,6,"units_per_acre",0,1,138
83,9,"units_per_acre",0,1,140
84,20,"units_per_acre",0,1,141
85,20,"units_per_acre",0,1,144
86,20,"units_per_acre",0,1,145
87,5,"units_per_acre",4,1,147
88,9,"units_per_acre",5,1,148
89,20,"units_per_acre",10,1,149
90,0.2,"units_per_acre",0,1,150
91,35,"units_per_acre",0,1,151
92,18.4042,"units_per_acre",0,1,152
93,15,"units_per_acre",10,1,166
94,15.55,"units_per_acre",0,1,167
95,15.55,"units_per_acre",0,1,168
96,15.55,"units_per_acre",0,1,169
97,15.55,"units_per_acre",0,1,170
98,10,"units_per_acre",7,1,171
99,1.08,"units_per_acre",0,1,173
100,10.89,"units_per_acre",0,1,174
101,10.89,"units_per_acre",0,1,175
102,8,"units_per_acre",5,1,176
103,8.06,"units_per_acre",0,1,177
104,8.06,"units_per_acre",0,1,178
105,8.06,"units_per_acre",0,1,179
106,8.06,"units_per_acre",0,1,180
107,6.05,"units_per_acre",0,1,181
108,5.18,"units_per_acre",0,1,182
109,4.53,"units_per_acre",0,1,183
110,4.53,"units_per_acre",0,1,184
111,4.53,"units_per_acre",0,1,185
112,4.53,"units_per_acre",0,1,186
113,5,"units_per_acre",0,1,190
114,10,"units_per_acre",0,1,191
115,24.1766,"units_per_acre",0,1,193
116,30,"units_per_acre",0,1,196
117,34.8825,"units_per_acre",0,1,198
118,14.0797,"units_per_acre",0,1,200
119,10,"units_per_acre",5,1,201
120,18,"units_per_acre",5,1,202
121,20,"units_per_acre",5,1,203
122,33.5266,"units_per_acre",5,1,208
123,27.7766,"units_per_acre",5,1,209
124,3.48,"units_per_acre",0,1,212
125,14.52,"units_per_acre",0,1,216
126,20.26,"units_per_acre",0,1,217
127,14.52,"units_per_acre",0,1,219
128,2.17,"units_per_acre",0,1,221
129,9.68,"units_per_acre",0,1,222
130,7.26,"units_per_acre",0,1,223
131,24,"units_per_acre",0,1,227
132,24,"units_per_acre",0,1,228
133,23.0128,"units_per_acre",0,1,229
134,12,"units_per_acre",0,1,230
135,24,"units_per_acre",0,1,231
136,6.05,"units_per_acre",0,1,235
137,12,"units_per_acre",0,1,236
138,18,"units_per_acre",0,1,237
139,24,"units_per_acre",0,1,238
140,3.63,"units_per_acre",0,1,240
141,6.05,"units_per_acre",0,1,241
142,1,"units_per_acre",0,1,242
143,24,"units_per_acre",0,1,243
144,24,"units_per_acre",0,1,245
145,18,"units_per_acre",0,1,247
146,5,"units_per_acre",0,1,249
147,18,"units_per_acre",0,1,250
148,9.56425,"units_per_acre",0,1,254
149,24,"units_per_acre",12,1,257
151,3,"units_per_acre",0,1,259
152,3,"units_per_acre",0,1,260
153,24,"units_per_acre",12,1,261
154,4,"units_per_acre",0,1,262
155,6,"units_per_acre",0,1,263
157,8,"units_per_acre",0,1,265
159,14,"units_per_acre",0,1,267
160,2.17,"units_per_acre",0,1,271
161,12,"units_per_acre",0,1,273
162,12,"units_per_acre",0,1,276
